5241 28968
3549 744 46
211 3934 68
3934 211 68
990 3228 15
3228 990 15
1021 4891 47
4891 1021 47
1465 4269 37
4269 1465 37
129 2116 20
2116 129 20
237 2672 20
2672 237 20
1947 4493 87
4493 1947 87
237 600 96
600 237 96
887 1291 93
1291 887 93
2866 4407 14
4407 2866 14
3263 3969 75
3969 3263 75
2021 2754 18
2754 2021 18
299 406 20
406 299 20
147 4232 50
4232 147 50
3626 3631 82
3631 3626 82
357 5176 8
5176 357 8
1689 3773 49
3773 1689 49
1019 2541 35
2541 1019 35
2728 4825 42
4825 2728 42
1626 4694 53
4694 1626 53
1178 4834 45
4834 1178 45
710 1518 65
1518 710 65
316 2303 96
2303 316 96
809 1172 52
1172 809 52
158 1504 15
1504 158 15
3891 5148 86
5148 3891 86
1207 2725 91
2725 1207 91
1991 3116 42
3116 1991 42
1331 3833 71
3833 1331 71
6 4947 34
4947 6 34
4281 4680 20
4680 4281 20
1959 4968 34
4968 1959 34
2118 2660 27
2660 2118 27
857 1949 49
1949 857 49
771 4055 85
4055 771 85
548 2464 25
2464 548 25
1934 2812 7
2812 1934 7
633 2879 15
2879 633 15
1562 3506 73
3506 1562 73
558 3891 94
3891 558 94
3659 4104 46
4104 3659 46
367 4245 91
4245 367 91
2023 2913 83
2913 2023 83
2541 3264 8
3264 2541 8
2783 4259 25
4259 2783 25
1494 1799 46
1799 1494 46
4240 5005 74
5005 4240 74
598 2242 1
2242 598 1
2725 4791 71
4791 2725 71
1851 3817 19
3817 1851 19
2553 4838 38
4838 2553 38
771 2473 91
2473 771 91
2633 4224 80
4224 2633 80
4193 4777 41
4777 4193 41
975 1001 91
1001 975 91
1230 4650 29
4650 1230 29
3273 4085 57
4085 3273 57
1969 2031 15
2031 1969 15
1410 3529 52
3529 1410 52
250 379 42
379 250 42
2067 4112 30
4112 2067 30
3024 4303 44
4303 3024 44
2450 4796 31
4796 2450 31
4368 4558 43
4558 4368 43
963 2832 46
2832 963 46
1438 1834 5
1834 1438 5
1324 3576 85
3576 1324 85
18 2329 100
2329 18 100
1262 4946 53
4946 1262 53
3725 3815 79
3815 3725 79
531 1254 28
1254 531 28
87 3734 24
3734 87 24
1241 2909 73
2909 1241 73
1392 4740 81
4740 1392 81
1928 4514 55
4514 1928 55
1950 2050 49
2050 1950 49
3449 4609 21
4609 3449 21
3290 4780 99
4780 3290 99
989 3025 33
3025 989 33
2640 5177 98
5177 2640 98
604 1768 29
1768 604 29
3628 4596 49
4596 3628 49
599 3518 24
3518 599 24
858 4321 4
4321 858 4
568 1336 69
1336 568 69
815 1957 83
1957 815 83
4913 5051 19
5051 4913 19
79 2989 11
2989 79 11
653 5082 86
5082 653 86
732 3329 34
3329 732 34
2067 4590 56
4590 2067 56
389 919 31
919 389 31
1544 3355 48
3355 1544 48
111 532 34
532 111 34
2290 3704 7
3704 2290 7
55 1375 29
1375 55 29
1189 2928 84
2928 1189 84
111 3765 95
3765 111 95
900 2162 3
2162 900 3
902 1441 8
1441 902 8
83 1964 10
1964 83 10
1284 1509 6
1509 1284 6
170 2403 70
2403 170 70
3236 4509 18
4509 3236 18
2651 4646 12
4646 2651 12
558 3500 47
3500 558 47
643 4212 86
4212 643 86
1675 3681 51
3681 1675 51
975 5065 79
5065 975 79
508 4454 15
4454 508 15
3237 3770 86
3770 3237 86
4312 4605 6
4605 4312 6
453 4957 61
4957 453 61
998 3576 79
3576 998 79
123 3891 9
3891 123 9
1475 4157 43
4157 1475 43
1057 4455 51
4455 1057 51
474 2955 78
2955 474 78
115 1375 89
1375 115 89
682 2408 27
2408 682 27
1222 3961 68
3961 1222 68
226 3187 34
3187 226 34
840 1887 68
1887 840 68
3934 4775 78
4775 3934 78
1001 2616 52
2616 1001 52
4194 4537 92
4537 4194 92
1747 3550 56
3550 1747 56
1042 3526 93
3526 1042 93
336 3905 50
3905 336 50
1157 4683 27
4683 1157 27
2628 3757 86
3757 2628 86
1502 4156 63
4156 1502 63
1976 2842 19
2842 1976 19
395 2866 16
2866 395 16
1649 1749 1
1749 1649 1
1884 2505 38
2505 1884 38
3043 3777 91
3777 3043 91
363 3938 48
3938 363 48
609 1220 68
1220 609 68
1714 3682 77
3682 1714 77
2440 5086 51
5086 2440 51
752 4403 12
4403 752 12
3449 3795 83
3795 3449 83
4116 4699 28
4699 4116 28
1178 4303 18
4303 1178 18
1298 1475 62
1475 1298 62
9 4232 72
4232 9 72
928 2646 99
2646 928 99
4416 4996 77
4996 4416 77
949 2464 56
2464 949 56
2577 3689 49
3689 2577 49
1298 2904 55
2904 1298 55
450 3731 26
3731 450 26
551 4536 42
4536 551 42
4838 5173 68
5173 4838 68
1605 3043 35
3043 1605 35
2265 2370 54
2370 2265 54
1076 2550 55
2550 1076 55
252 2170 51
2170 252 51
706 3962 89
3962 706 89
1693 4769 5
4769 1693 5
1710 2576 51
2576 1710 51
2488 4022 51
4022 2488 51
314 4581 60
4581 314 60
2029 2034 26
2034 2029 26
3659 4887 57
4887 3659 57
1270 2821 76
2821 1270 76
628 2561 54
2561 628 54
3093 4126 74
4126 3093 74
1979 3462 52
3462 1979 52
508 4768 53
4768 508 53
790 3257 8
3257 790 8
248 4583 48
4583 248 48
3048 4094 35
4094 3048 35
975 4130 84
4130 975 84
2496 3724 33
3724 2496 33
2786 4509 68
4509 2786 68
2954 2955 58
2955 2954 58
1571 4569 23
4569 1571 23
2954 3899 6
3899 2954 6
2137 2618 2
2618 2137 2
1600 4694 47
4694 1600 47
715 4508 50
4508 715 50
662 1562 25
1562 662 25
2935 5005 19
5005 2935 19
2253 3362 46
3362 2253 46
123 3500 62
3500 123 62
1965 3929 57
3929 1965 57
3899 4014 56
4014 3899 56
2227 4724 94
4724 2227 94
22 2955 66
2955 22 66
2402 2832 55
2832 2402 55
673 1083 23
1083 673 23
2073 3022 86
3022 2073 86
4723 4756 14
4756 4723 14
2482 3885 36
3885 2482 36
474 1893 24
1893 474 24
1415 3511 1
3511 1415 1
3200 4628 25
4628 3200 25
3009 4112 32
4112 3009 32
1607 5012 70
5012 1607 70
2552 2900 61
2900 2552 61
1144 1466 35
1466 1144 35
4021 4408 36
4408 4021 36
2795 4509 47
4509 2795 47
4182 4960 11
4960 4182 11
1226 1881 32
1881 1226 32
2 3070 1
3070 2 1
403 715 97
715 403 97
2409 4162 82
4162 2409 82
734 1629 96
1629 734 96
3493 4407 51
4407 3493 51
46 58 61
58 46 61
2538 2954 45
2954 2538 45
1880 2889 42
2889 1880 42
2574 3114 81
3114 2574 81
3049 5123 59
5123 3049 59
3562 4974 29
4974 3562 29
4028 4982 11
4982 4028 11
488 3779 20
3779 488 20
1060 4529 2
4529 1060 2
2457 2694 14
2694 2457 14
1800 3988 45
3988 1800 45
3068 4532 1
4532 3068 1
3891 4281 47
4281 3891 47
2506 2977 44
2977 2506 44
219 4752 22
4752 219 22
2619 4800 38
4800 2619 38
810 5203 10
5203 810 10
314 725 8
725 314 8
2861 4770 30
4770 2861 30
771 2227 9
2227 771 9
2227 4323 77
4323 2227 77
845 2552 28
2552 845 28
3017 4454 94
4454 3017 94
802 5205 96
5205 802 96
288 1378 3
1378 288 3
1738 5194 25
5194 1738 25
550 2830 9
2830 550 9
1874 3308 79
3308 1874 79
158 4487 26
4487 158 26
3200 4629 42
4629 3200 42
2576 5178 31
5178 2576 31
1724 4978 19
4978 1724 19
857 3192 80
3192 857 80
538 1918 33
1918 538 33
1016 3628 21
3628 1016 21
676 3493 86
3493 676 86
2725 4126 66
4126 2725 66
1474 4231 70
4231 1474 70
895 2845 59
2845 895 59
979 4967 37
4967 979 37
2116 2453 46
2453 2116 46
338 4174 85
4174 338 85
2633 5202 6
5202 2633 6
2355 3465 59
3465 2355 59
3664 3979 76
3979 3664 76
2464 4600 33
4600 2464 33
4644 4650 63
4650 4644 63
4767 4961 63
4961 4767 63
453 4019 15
4019 453 15
854 1320 63
1320 854 63
1974 2821 100
2821 1974 100
485 2182 78
2182 485 78
2538 3254 45
3254 2538 45
550 4877 8
4877 550 8
248 4465 42
4465 248 42
4281 5140 40
5140 4281 40
246 2912 79
2912 246 79
1804 2435 68
2435 1804 68
2455 2633 15
2633 2455 15
22 1893 12
1893 22 12
3891 4552 54
4552 3891 54
1053 4507 11
4507 1053 11
200 3062 3
3062 200 3
3436 5195 80
5195 3436 80
2503 2567 81
2567 2503 81
1934 2675 78
2675 1934 78
2023 5003 13
5003 2023 13
1998 4456 39
4456 1998 39
974 3795 58
3795 974 58
1120 3144 17
3144 1120 17
2861 3959 43
3959 2861 43
2770 2771 26
2771 2770 26
845 934 22
934 845 22
304 2127 32
2127 304 32
746 2399 58
2399 746 58
2559 4607 97
4607 2559 97
3487 3808 82
3808 3487 82
3442 4840 31
4840 3442 31
1708 2124 5
2124 1708 5
4550 4974 57
4974 4550 57
1164 2777 42
2777 1164 42
3644 4220 53
4220 3644 53
1104 2224 81
2224 1104 81
2056 3253 86
3253 2056 86
3408 4663 68
4663 3408 68
3054 5058 9
5058 3054 9
2581 4156 12
4156 2581 12
2405 2585 49
2585 2405 49
111 2651 57
2651 111 57
2315 5029 7
5029 2315 7
168 4070 47
4070 168 47
1044 4454 31
4454 1044 31
494 2904 31
2904 494 31
84 2464 41
2464 84 41
2091 4828 46
4828 2091 46
129 1203 99
1203 129 99
1810 5103 10
5103 1810 10
706 4936 47
4936 706 47
1449 3053 69
3053 1449 69
2252 5130 71
5130 2252 71
2272 3195 96
3195 2272 96
1417 1963 47
1963 1417 47
3927 5050 36
5050 3927 36
775 4569 47
4569 775 47
899 2532 62
2532 899 62
1782 3006 93
3006 1782 93
3956 4744 33
4744 3956 33
2861 3006 42
3006 2861 42
3068 3993 38
3993 3068 38
1227 3176 78
3176 1227 78
300 2752 33
2752 300 33
558 4600 47
4600 558 47
1969 4487 67
4487 1969 67
3011 3218 96
3218 3011 96
46 3595 90
3595 46 90
2252 2540 41
2540 2252 41
572 728 57
728 572 57
933 3791 19
3791 933 19
2700 3653 50
3653 2700 50
2357 4516 88
4516 2357 88
950 3679 42
3679 950 42
2494 4452 47
4452 2494 47
2617 4492 40
4492 2617 40
4485 4973 25
4973 4485 25
698 2476 79
2476 698 79
2771 4090 80
4090 2771 80
1324 1334 71
1334 1324 71
161 3912 44
3912 161 44
125 3912 28
3912 125 28
2483 3605 7
3605 2483 7
2165 4052 48
4052 2165 48
2137 4322 70
4322 2137 70
3836 4281 42
4281 3836 42
58 3595 62
3595 58 62
1951 3096 62
3096 1951 62
3689 4694 6
4694 3689 6
721 2927 59
2927 721 59
2492 3763 72
3763 2492 72
1253 4957 61
4957 1253 61
1793 4401 49
4401 1793 49
1964 4281 10
4281 1964 10
1750 4724 7
4724 1750 7
2252 2542 75
2542 2252 75
1974 4166 65
4166 1974 65
977 1298 2
1298 977 2
521 1060 20
1060 521 20
3225 4255 59
4255 3225 59
5 2601 21
2601 5 21
2802 2915 66
2915 2802 66
2223 2583 73
2583 2223 73
720 1517 58
1517 720 58
2185 3830 94
3830 2185 94
521 2059 3
2059 521 3
3659 4421 35
4421 3659 35
2694 3984 91
3984 2694 91
1109 4755 63
4755 1109 63
4382 4879 34
4879 4382 34
4609 4615 83
4615 4609 83
998 1334 65
1334 998 65
773 3564 100
3564 773 100
235 2053 35
2053 235 35
761 1948 56
1948 761 56
4007 4563 37
4563 4007 37
214 933 44
933 214 44
2708 4130 7
4130 2708 7
3138 3175 2
3175 3138 2
329 2405 33
2405 329 33
1410 1562 13
1562 1410 13
254 1526 65
1526 254 65
2915 3060 34
3060 2915 34
1586 4913 36
4913 1586 36
2763 3526 44
3526 2763 44
3347 3350 56
3350 3347 56
997 1107 75
1107 997 75
3533 5176 64
5176 3533 64
499 896 50
896 499 50
2433 4294 70
4294 2433 70
1331 1475 85
1475 1331 85
1198 4432 31
4432 1198 31
304 1227 32
1227 304 32
1806 3149 68
3149 1806 68
543 4909 35
4909 543 35
123 4600 62
4600 123 62
118 2282 1
2282 118 1
2749 4027 27
4027 2749 27
1324 3682 87
3682 1324 87
2139 4651 25
4651 2139 25
3791 4582 64
4582 3791 64
633 1427 31
1427 633 31
2490 4711 26
4711 2490 26
120 4767 8
4767 120 8
10 4600 59
4600 10 59
1665 2261 1
2261 1665 1
279 937 27
937 279 27
3062 4936 83
4936 3062 83
2287 5182 40
5182 2287 40
1387 2332 90
2332 1387 90
4379 4886 60
4886 4379 60
720 2163 40
2163 720 40
1355 3739 17
3739 1355 17
1283 3476 14
3476 1283 14
2706 4651 2
4651 2706 2
1826 2933 16
2933 1826 16
316 558 31
558 316 31
4080 4522 3
4522 4080 3
2576 3893 86
3893 2576 86
786 3079 58
3079 786 58
1079 5220 38
5220 1079 38
443 3394 80
3394 443 80
455 3348 70
3348 455 70
3475 3601 91
3601 3475 91
1270 5055 54
5055 1270 54
1559 3491 25
3491 1559 25
894 1345 28
1345 894 28
521 1782 94
1782 521 94
521 1331 27
1331 521 27
1562 2667 10
2667 1562 10
697 3307 75
3307 697 75
598 4407 6
4407 598 6
2783 3326 64
3326 2783 64
401 3334 58
3334 401 58
4686 4963 86
4963 4686 86
1008 4204 65
4204 1008 65
1948 4532 81
4532 1948 81
46 4582 69
4582 46 69
2046 2332 19
2332 2046 19
2066 3548 11
3548 2066 11
247 3598 72
3598 247 72
1433 2322 46
2322 1433 46
2713 4059 55
4059 2713 55
992 4318 7
4318 992 7
2092 4933 62
4933 2092 62
133 3770 62
3770 133 62
725 1476 16
1476 725 16
4698 4757 56
4757 4698 56
2343 3343 13
3343 2343 13
2295 2665 99
2665 2295 99
589 4308 44
4308 589 44
545 2916 16
2916 545 16
532 2193 22
2193 532 22
120 919 92
919 120 92
682 4028 67
4028 682 67
3493 4451 99
4451 3493 99
771 3017 39
3017 771 39
1768 3579 100
3579 1768 100
857 4384 44
4384 857 44
684 2721 10
2721 684 10
1563 5018 8
5018 1563 8
2143 3697 31
3697 2143 31
2602 2737 40
2737 2602 40
2282 3491 38
3491 2282 38
1049 1848 84
1848 1049 84
1042 1526 93
1526 1042 93
4644 4661 50
4661 4644 50
686 1880 75
1880 686 75
616 3790 75
3790 616 75
1122 4567 70
4567 1122 70
3000 3180 9
3180 3000 9
519 4529 31
4529 519 31
1555 2954 72
2954 1555 72
58 4582 41
4582 58 41
673 2152 96
2152 673 96
1056 2486 47
2486 1056 47
2214 4747 82
4747 2214 82
127 437 15
437 127 15
933 2823 63
2823 933 63
1792 4737 30
4737 1792 30
1243 3124 90
3124 1243 90
919 3961 75
3961 919 75
2931 4883 21
4883 2931 21
720 4412 73
4412 720 73
2031 4509 63
4509 2031 63
2904 4014 11
4014 2904 11
2028 3412 21
3412 2028 21
3413 3451 19
3451 3413 19
3094 3104 31
3104 3094 31
1896 3514 63
3514 1896 63
937 2336 8
2336 937 8
2602 3913 32
3913 2602 32
1782 4529 84
4529 1782 84
745 2817 33
2817 745 33
1569 2708 24
2708 1569 24
2610 2741 56
2741 2610 56
3263 5052 86
5052 3263 86
2118 4093 88
4093 2118 88
1074 2243 74
2243 1074 74
668 1563 28
1563 668 28
4050 4308 35
4308 4050 35
1270 4323 10
4323 1270 10
755 3526 96
3526 755 96
4323 5147 61
5147 4323 61
4912 5206 23
5206 4912 23
1062 5015 26
5015 1062 26
1109 1854 46
1854 1109 46
1763 2134 80
2134 1763 80
3049 3417 57
3417 3049 57
592 3434 79
3434 592 79
231 4942 24
4942 231 24
240 312 93
312 240 93
2927 2935 81
2935 2927 81
2527 2560 6
2560 2527 6
2858 3788 43
