4158 13422
3310 4034 37
189 533 69
706 1616 7
1091 1561 7
382 2763 62
498 3004 55
909 2772 52
570 2251 86
546 853 76
223 3808 98
332 1472 65
937 1106 98
2048 2333 98
562 1759 74
827 3256 38
304 1500 73
1035 3742 48
1873 2013 33
472 2095 96
1014 2410 53
428 2457 86
1554 1979 66
48 2626 79
176 1328 81
269 491 35
340 2069 62
1327 4117 75
326 3357 24
1407 3271 73
1940 3948 5
573 2844 60
323 2015 17
460 1547 8
444 596 45
917 3663 47
1921 4154 18
471 2112 54
1680 1760 49
1134 2733 64
516 2657 14
3810 3913 80
1137 1468 52
154 1427 82
768 1977 66
3594 4006 65
529 1994 46
2100 2708 85
552 1149 94
338 3352 11
1764 2766 55
1674 1816 15
44 1944 61
753 2209 45
1473 3362 66
1304 2457 42
1777 3318 42
688 3455 12
1222 3938 77
497 3485 1
1994 2984 91
706 1048 51
1599 2182 12
98 2036 99
989 1065 13
447 1635 1
3220 3611 56
1553 2683 3
311 706 92
2780 3897 78
1853 1892 56
640 2297 38
240 2499 72
2076 2389 18
1274 2405 28
1498 3318 93
227 687 65
1641 3087 99
518 3915 62
2635 3191 81
395 1183 5
3701 3805 65
1266 2977 4
470 2004 87
2091 3894 68
2281 3651 27
1553 3951 59
1170 4012 23
3338 3990 57
73 1240 92
106 1882 29
2035 3770 24
529 739 11
5 3714 42
707 2074 24
249 1231 95
2491 2893 51
673 2250 62
3414 3757 52
289 3637 37
1018 2350 57
214 1101 100
792 1507 20
2138 2655 62
1625 1751 91
102 2802 45
1103 1942 56
983 2069 95
866 3355 30
1975 2220 14
319 3883 49
1014 2897 32
2098 2680 47
1117 2213 97
1714 2010 53
1044 2923 4
753 1994 90
1633 3436 84
533 4011 59
710 3338 5
2533 3558 58
161 3129 33
208 2701 14
1825 3036 36
88 2061 14
1023 3931 89
588 2799 60
166 3103 46
790 2541 36
816 3881 22
1161 3379 83
102 1661 48
189 2095 23
1531 3560 30
189 472 32
698 1019 10
2250 3487 78
2567 3133 87
1591 2164 58
117 3347 75
2859 2864 66
283 4105 7
1331 2980 70
814 1984 11
2140 3832 33
1282 3728 67
931 3840 90
560 1203 60
250 1803 50
122 1194 29
3074 4080 3
954 2138 69
1566 2448 11
1048 3027 96
3 3927 1
3387 3714 84
1541 3941 17
1663 2084 30
681 1533 21
612 3204 89
428 1923 8
1524 2204 61
497 2259 59
1230 2763 50
436 3074 23
2886 3245 80
293 3357 1
1593 2288 28
1984 2568 9
2181 3370 50
1185 1406 86
3352 3971 68
470 1759 22
2138 3804 95
1995 3844 42
612 1931 48
2063 3341 99
3320 3796 1
776 799 88
973 3692 76
2576 3229 98
1550 1599 82
1113 2782 46
200 302 83
1622 3250 81
2372 3400 81
1913 3807 71
764 2220 73
1137 1436 8
1041 2821 77
13 1821 9
997 3926 98
2937 3012 100
415 990 44
67 2944 74
980 2284 57
1095 3765 99
1519 3576 30
1534 1611 90
2723 3661 99
789 2373 49
2069 4106 90
474 1387 22
2861 3649 73
471 2772 74
682 3416 63
443 1053 83
3898 4007 6
61 2345 5
511 4034 68
579 2621 55
1622 3643 62
308 726 39
1219 2643 69
85 416 56
40 1082 83
939 2302 92
85 2972 8
709 1695 43
711 1140 70
65 1546 46
1015 1199 97
132 1877 50
2549 3573 9
2077 3688 32
436 2759 68
506 3333 96
1322 2902 65
776 4020 45
395 3529 87
2550 2977 8
3407 3657 35
353 3934 70
796 2821 82
97 3074 14
1169 3288 84
844 3530 23
366 2321 52
89 1082 2
533 1882 66
966 3125 20
179 2507 17
669 1479 31
3103 3794 40
799 2048 34
3321 3599 83
1373 2800 12
832 2780 1
265 3086 26
914 3717 72
2060 2964 97
1192 3287 80
1555 2230 64
312 2250 71
1299 1375 93
1476 1955 40
2386 2984 43
289 3106 10
479 964 86
1348 2903 88
1904 4036 85
596 3483 36
2723 2999 45
3253 3733 53
931 3400 10
1024 1169 66
5 3347 3
734 2074 61
3495 3963 65
753 1923 83
2016 2909 98
1024 2280 53
352 2941 58
430 3598 45
3844 4102 47
1266 2386 57
1775 1854 92
858 1992 11
556 3126 27
1345 2015 99
1942 3174 9
249 3636 80
2886 3878 41
1002 2211 98
495 2001 11
2426 3260 75
1556 2731 12
395 3788 90
631 2562 64
198 3638 33
2391 3238 16
776 3264 93
2182 3573 32
2320 2321 26
1237 3625 21
2320 3081 46
1674 2050 93
1262 3728 47
564 3572 57
518 1230 17
2305 3971 11
1767 2649 59
97 2759 59
1547 3101 23
3081 3168 16
1748 3752 21
15 2321 71
1876 2220 45
528 861 54
1627 2371 93
366 1485 40
1117 2767 15
2516 3673 86
2360 3250 59
1994 2276 55
905 1162 58
3173 3488 8
2189 3573 49
969 1473 29
0 2407 68
318 564 95
1883 3293 3
581 1284 88
2753 3487 71
34 43 34
1981 2320 100
1472 2266 3
2013 2446 34
2808 3945 62
3180 3952 13
378 2985 12
847 3591 53
1919 2114 76
1407 3151 33
2405 3594 2
3074 3387 22
1956 2338 31
173 3776 4
2051 3810 100
249 573 9
2247 3789 19
612 1748 37
1748 3418 43
673 1994 10
2367 3529 19
642 4128 27
229 1084 76
1366 4120 35
1468 2605 42
122 3555 66
2516 3674 3
2015 4107 33
1356 3949 18
681 2510 30
420 1509 22
811 2861 27
529 2753 49
2138 3260 47
706 2233 96
780 3940 9
1661 1915 95
267 3304 94
2063 4126 44
1842 2733 12
2890 3142 53
1923 3653 63
3686 3692 79
3787 3936 58
353 3172 16
1553 2211 79
375 1710 44
1981 2560 80
198 3539 50
3387 4072 70
196 2287 4
1411 1902 24
1917 2063 47
15 1485 59
3074 3613 64
840 3571 96
157 2399 99
2711 4121 47
1953 2007 11
1524 2098 59
1593 3969 5
1572 3531 8
775 2999 57
889 2472 32
2247 3123 97
2171 2172 74
673 739 75
240 1669 62
590 1873 80
1999 3659 21
2716 3846 27
3611 3945 55
919 2175 13
2873 3338 58
879 1745 63
2689 3699 91
2395 4014 32
2018 3287 86
1879 2022 72
85 2077 93
1812 3990 51
130 3216 51
834 3529 96
383 2280 82
66 1923 86
1642 3834 29
102 951 78
1416 4046 27
556 3917 74
1147 2394 4
1766 4067 34
1780 2513 50
1119 1545 3
3100 4006 51
616 3625 70
708 1978 23
1394 2357 32
3120 3769 42
2247 2357 75
2405 3155 39
970 2499 2
436 3653 66
1550 3555 34
2361 2532 84
34 2837 32
1766 1983 6
738 2996 59
2118 2881 84
1844 3578 39
1946 3527 34
2049 3559 71
549 1933 29
2172 3234 59
1041 1051 87
124 3091 40
99 3091 65
1938 2845 92
1697 3201 73
1674 3417 32
3029 3387 27
43 2837 11
1535 2429 27
2909 3728 4
570 2301 36
1945 2970 34
989 3934 86
1401 3481 57
1546 3387 54
1376 3752 89
1766 1985 40
1553 3297 41
778 1024 75
407 847 65
2538 3366 49
2 2035 6
2196 2290 55
1744 2020 53
569 1202 22
1713 3024 60
407 1616 38
2886 3500 15
2114 3147 82
882 3778 17
3465 3871 71
3661 3664 28
796 1051 92
614 2810 53
187 1613 67
604 1532 17
3164 3621 90
169 738 34
2125 3264 12
2467 2498 92
259 1879 21
1113 1230 62
201 1209 33
2290 2398 5
1251 3898 96
2168 2780 17
2636 2638 11
2786 4105 100
387 707 65
1901 3394 78
1048 1169 10
946 3508 11
240 970 79
1413 2475 27
424 3894 91
97 3653 57
92 1788 97
2161 3179 83
1041 2903 71
1676 3693 86
2996 3637 54
497 1127 15
1944 3743 44
94 3787 42
6 3653 36
1314 1773 24
221 742 14
2399 3917 7
1792 4111 88
1091 1824 78
3462 3877 80
569 1696 20
1067 2948 42
1014 2741 80
2123 3693 43
250 436 11
3225 3584 52
2015 3076 6
627 2414 24
859 4140 58
348 2677 46
355 2637 83
2740 2842 3
1002 4011 98
1228 2751 84
705 1059 7
407 1394 64
407 1048 82
1230 2091 26
548 2604 5
470 3487 98
2181 2618 66
317 2625 1
3720 3938 15
806 3326 77
1532 3594 39
34 3637 32
1607 1824 74
1621 2798 66
197 2839 19
1133 1816 44
2128 3208 53
792 3413 22
1643 3914 20
106 2977 44
573 1170 2
3732 3779 84
1833 2632 16
1796 2089 38
462 3403 22
426 2291 2
416 1720 85
94 726 5
533 3180 32
2753 3526 34
612 2367 60
1387 2823 37
681 3467 99
535 2134 12
1231 3979 53
1680 2917 18
2036 2149 98
1788 2751 44
836 1446 47
832 1209 94
3686 3698 81
537 1472 20
486 2995 30
891 3623 61
2353 2502 26
405 3591 51
1226 2320 95
43 3637 11
528 1687 96
843 1940 62
1736 3772 89
101 344 28
738 2213 48
1400 3764 37
982 2454 9
726 3125 80
2303 3874 100
569 3491 35
1599 3573 59
2280 3168 85
1597 2691 3
2692 2725 26
2427 2437 15
1488 2770 67
742 1828 27
2036 3092 29
1394 3591 10
589 2208 44
1236 2125 90
2043 2153 83
2567 4008 62
1663 3237 31
856 1760 5
523 1231 89
3200 3403 100
1002 3418 17
598 2780 47
3418 4079 50
3897 4129 49
882 1451 58
465 2709 17
184 3922 27
190 247 38
2301 2305 65
1974 2000 43
2245 2993 25
1226 2560 75
250 673 40
1353 2244 40
1129 3002 82
1152 2870 51
1784 3967 92
1009 1506 30
1063 2251 69
2405 2745 69
3463 3958 88
3740 3742 3
2048 3327 96
1655 2514 92
19 2063 9
2776 3027 64
102 2485 56
660 4151 76
2060 2936 21
1011 3214 28
2264 3783 44
523 584 90
1999 2749 51
1041 3557 89
807 4048 82
296 1735 20
3558 3788 43
2350 3660 19
716 3473 86
311 3081 67
3424 3437 22
3400 3661 86
311 2321 47
2756 3289 98
436 2211 52
2428 2437 46
1777 3312 40
2013 3134 30
799 3634 96
321 2276 92
806 1184 63
731 3154 28
1584 2226 95
240 2031 16
1901 3872 4
2289 2626 50
3400 3673 90
3253 4015 47
1134 1600 3
4011 4079 33
2895 3755 29
1084 1213 74
1828 3091 64
387 1014 84
1034 1407 22
1498 3312 91
1051 3915 85
1264 1453 34
1295 1512 98
557 970 6
2600 2643 80
5 1419 27
1436 3127 24
706 1024 43
400 1883 60
1111 3355 25
1553 3418 98
3613 4011 39
1360 4128 85
1869 3558 74
151 1601 47
569 1997 37
2489 3555 43
3803 4047 41
3478 3547 66
1357 2341 13
208 2517 86
187 3355 81
807 3464 54
3579 3921 55
739 3206 60
23 1180 22
3594 4014 1
1209 3659 31
529 1419 71
2565 2831 91
2101 4042 94
769 785 33
1756 2327 44
1327 2734 64
1223 2173 3
1765 1772 88
3529 3862 2
787 3225 71
1759 3283 89
1280 2128 5
1230 2168 35
523 3571 69
3387 3680 6
182 677 100
1898 3877 96
832 3897 90
1427 3415 41
31 193 91
3159 3426 20
353 1888 88
289 2944 56
16 2721 2
3102 4005 96
718 2231 34
1574 1787 22
533 2977 81
1653 2452 76
76 3200 5
2237 4111 83
34 3106 5
331 707 29
1925 2731 51
1024 1535 88
2875 3046 56
1989 2766 30
2064 3008 69
919 3808 74
1091 3578 96
1888 3848 93
1371 3996 82
1262 2890 1
59 3515 33
3447 3956 58
1597 3405 41
1945 2247 43
240 1280 49
786 3112 19
1065 3172 88
2883 3905 7
65 3564 52
476 3886 67
432 2965 46
510 3192 23
1365 2968 20
366 3027 54
2305 3352 88
559 2339 41
230 2241 76
250 1002 33
2278 3488 63
1608 3074 55
43 3106 84
1513 2366 74
444 1063 84
590 2446 21
1180 2172 53
1020 1239 32
1009 2192 92
1100 1941 46
1090 2417 28
2518 3615 62
420 831 96
2321 3789 13
2560 3123 100
1892 3120 41
1505 3584 32
472 2753 82
424 1348 9
1818 3052 91
1878 3818 73
1146 3341 72
2251 3971 37
1637 2766 18
824 3482 87
2196 2410 95
227 3970 76
1568 3874 15
312 3347 20
2276 2753 6
877 2955 71
1146 3161 12
3046 3538 21
529 1759 51
1555 1901 71
1226 2906 57
2594 3843 94
353 974 50
1169 1616 60
738 2767 66
14 3183 94
2320 3027 28
266 1453 96
1938 3502 61
2760 2890 39
2245 2561 81
901 1418 86
169 2996 20
1078 3588 63
34 67 42
1188 2068 33
2629 3101 65
2992 4117 90
1024 3168 49
1677 1785 81
1485 2560 4
1093 2154 50
1923 2550 12
1886 2733 76
15 3027 73
2022 2204 99
2641 4046 2
2901 3817 69
1677 1967 75
2157 3256 68
2321 3123 91
1736 2002 99
12 2709 74
2399 3935 13
323 2436 74
1457 2063 87
2004 2753 74
1878 3479 10
1923 4011 49
3802 4040 91
2903 3897 91
2582 3965 96
2495 2861 31
2811 3568 46
43 67 21
3014 3358 69
795 1525 19
866 2019 18
2571 2977 59
512 1891 68
3015 4048 30
786 2568 71
734 2193 84
379 3347 97
1045 1251 11
1091 2216 42
98 3124 95
3783 4140 2
830 1607 98
2483 3845 87
1078 3820 7
707 1030 76
2094 2811 50
3608 4089 10
311 2867 29
1016 1879 88
2164 3144 81
1091 1608 6
1891 3496 2
1331 2130 20
202 3792 75
42 3485 96
407 2233 27
734 1434 81
3641 4052 4
2196 2897 74
1230 1999 62
500 2701 66
390 2889 52
2350 3510 69
716 2994 43
119 3671 45
2102 4128 87
3264 3989 46
1890 3826 81
338 1474 85
923 1453 63
1676 2525 30
1872 2510 51
1396 2593 6
1231 2258 96
1768 2431 84
331 1014 48
1607 1608 2
1048 1559 40
914 1456 35
2301 3483 91
3024 3708 29
785 3560 4
905 1250 54
2247 3378 32
436 2550 15
1199 3972 42
2789 4003 59
1616 3925 70
2223 3529 55
798 1525 12
1997 3550 6
979 2249 31
2640 3529 82
2406 4023 26
2767 2837 55
2444 2831 40
441 2154 38
586 3379 58
190 2640 19
436 4011 52
67 2846 8
227 2284 14
2130 2830 89
1417 1716 48
2209 2276 20
1745 3082 38
1707 3418 72
1317 3428 52
131 2250 60
1091 2250 20
464 982 27
3863 4124 10
27 2692 50
1306 3816 7
3425 4044 72
598 1209 40
1506 3915 90
1474 3483 54
2243 2519 5
3132 3741 38
739 2250 8
993 3559 35
1224 2917 82
1937 3289 9
1497 2934 34
1209 2749 61
524 1343 24
1677 2502 70
3437 4062 50
3297 3487 35
2856 3318 91
1594 3580 23
1096 2764 13
2410 3916 31
1900 2038 95
2002 4107 30
1942 3714 89
564 2628 9
2216 2923 36
1841 3284 48
1211 2754 8
971 1692 14
166 2320 35
383 3168 78
436 3418 71
153 2204 60
1198 1231 14
1396 3944 73
823 2369 35
989 1888 4
2032 3347 40
1429 2128 24
2560 3591 56
2875 2887 53
1320 2996 1
278 3770 57
2993 3940 12
1277 3578 62
2772 3530 91
486 572 39
2999 3273 59
2067 2703 77
2256 3286 47
865 2476 56
274 2636 55
2525 3693 5
96 278 51
37 3203 47
2168 3923 48
3347 3487 85
2637 3780 56
1739 2258 44
2168 3897 6
2782 4129 84
1153 1601 9
458 1467 86
2264 3586 95
778 2357 36
2035 3326 76
97 4011 43
553 2742 6
570 590 49
6 4011 22
523 1195 77
861 976 32
138 891 74
1813 2483 63
299 2202 52
450 3944 47
1566 3415 50
1117 3603 27
367 1288 22
286 3188 11
491 1269 43
171 2068 6
3529 3611 35
409 1697 77
2780 2783 40
240 3919 12
2767 3637 55
1340 3883 100
1647 3980 66
112 1921 78
1783 3206 24
479 3605 83
235 1134 12
1009 2783 39
2549 3173 9
1611 3776 82
673 1419 35
112 2802 55
3875 3922 48
2477 3282 30
949 1923 59
315 1342 28
913 1734 30
2429 2560 68
2637 3301 13
280 1299 12
2998 3935 82
451 510 100
1262 1714 9
671 2550 100
2597 2949 89
2867 3591 73
2708 3766 19
377 3883 47
2446 3483 86
1157 3563 87
1078 3120 7
2163 2725 27
1229 2141 45
296 1249 58
2531 3078 36
2961 4121 97
2741 2998 86
250 1064 87
656 3415 40
2660 3825 34
1419 1994 36
1091 2923 61
3807 3808 2
628 4109 70
776 2999 88
201 2782 74
2489 2549 41
179 186 60
1409 2834 6
1233 2098 38
1153 2447 91
2064 3265 38
236 2377 74
2081 2780 20
908 2023 88
598 3897 36
595 1113 15
1288 4116 49
847 2321 63
3123 3789 75
1679 4117 87
1035 1315 89
1994 3206 65
1002 3613 32
2753 3431 19
1531 3499 93
412 2947 20
2250 3074 57
355 3866 76
590 3134 17
2204 3723 64
3418 3951 74
68 3761 94
829 3256 100
2182 3173 32
2035 2126 76
447 1136 18
1033 1916 44
1774 3811 30
974 1235 38
1014 3916 55
559 3405 63
2369 2998 54
1230 4129 72
339 2036 70
920 3676 61
1065 1888 60
153 1879 35
1196 2882 19
1050 3702 33
1277 1608 72
1909 3742 42
85 2241 81
671 3418 56
585 3987 63
2976 3780 65
354 776 15
595 2091 41
2062 3818 77
1369 2752 72
1063 2301 19
1589 3289 21
2970 3168 75
2189 3173 49
1604 3933 34
714 1002 17
3465 3673 5
778 1192 31
1438 2109 80
832 2782 35
3387 3840 26
1097 2592 20
1759 3653 79
1062 3847 70
354 428 99
867 1660 46
2049 3417 57
2049 4073 9
527 2043 17
1543 3431 9
1226 1981 32
564 3884 61
516 3956 97
165 198 30
146 2275 50
2410 2998 25
204 2798 39
878 971 74
218 2760 27
405 1945 69
1092 1904 69
799 1078 44
187 1766 68
1942 3347 50
2398 3917 76
1134 1450 53
706 3123 26
1849 2936 80
1251 2271 37
1753 3284 20
1527 2642 100
778 3591 14
201 3915 35
1816 1988 41
1318 3490 37
962 3038 17
3660 4121 66
1761 2141 37
1284 1335 48
1030 3126 21
1307 3807 85
1394 1945 28
2568 2650 7
2250 2759 2
1592 1994 99
2157 3360 36
1840 2629 82
335 2016 6
1064 1994 31
775 1722 48
1905 2964 92
611 3695 5
169 2767 27
314 3386 45
1534 2752 87
190 3460 59
803 1840 22
1585 2516 56
424 1009 46
935 1023 25
126 3956 7
1132 2566 63
1279 2982 92
428 3490 47
3174 4079 86
103 1677 51
2752 3574 19
179 1140 78
3659 3894 76
866 3699 78
1409 2367 67
579 3847 97
2298 2548 3
529 3487 27
259 3987 57
1031 2305 95
789 3937 37
2640 3084 17
3029 3316 20
407 1024 74
2767 3106 28
739 1994 56
327 2462 40
1659 3447 77
34 2944 51
1498 1641 84
1188 3673 18
2429 2906 50
113 3745 17
5 1783 15
3214 3881 60
1472 1855 16
615 1953 15
56 2437 14
1576 2234 83
3180 3498 95
103 537 71
1945 2280 4
638 3357 96
995 2883 5
1299 2105 3
885 3491 31
2149 2690 98
796 2081 2
907 1837 95
1082 1435 86
140 816 61
43 2944 30
1421 1552 84
1589 1937 37
1823 2632 6
529 1783 59
1616 2776 37
77 1268 92
597 864 44
2844 3844 61
1544 3571 20
740 2829 82
1684 3412 57
1419 1923 29
1630 3481 56
335 3841 31
570 1160 39
379 564 86
45 1950 94
2780 2821 86
2328 3010 87
405 1226 46
2172 2356 33
1907 2393 47
1453 1662 46
1331 2245 75
427 2199 69
2698 3597 36
1435 1541 31
1009 2821 85
336 2590 95
2779 3132 42
354 3273 64
631 3748 26
1327 1806 88
1783 2250 72
987 1711 33
2064 3943 64
1547 2629 99
1775 3712 78
1481 1689 73
2516 2604 13
3763 3842 16
1268 3758 43
8 4080 57
40 3111 76
1192 1616 73
2410 2744 7
970 3097 68
737 2854 14
3387 3400 46
518 3894 5
951 2411 17
1170 2905 4
155 3818 60
717 1512 80
737 4079 39
970 2497 68
1018 4121 64
2502 2992 75
229 2608 84
1185 3969 57
89 3111 95
3307 3482 60
816 1028 21
97 1002 90
2863 3387 81
1185 1593 65
699 716 90
2125 2999 7
6 1002 69
1762 3280 31
2995 3971 1
1982 1990 21
1197 3154 74
2501 4053 81
2049 2962 22
900 3815 4
500 2909 2
395 3903 45
516 2503 96
1306 2023 26
986 1507 34
2753 3074 50
240 3955 24
1400 3615 4
2095 3663 65
707 3935 61
1923 3180 22
1294 1400 63
737 1553 97
1730 3733 40
803 1640 22
1030 3917 68
590 2995 54
1268 2457 26
2138 3211 14
1020 2261 6
354 925 48
903 1754 60
807 3919 89
1932 1965 46
1672 2664 69
1058 1359 50
885 1997 33
1994 2250 13
925 3989 37
1861 3757 9
155 3479 97
518 832 51
1923 3387 41
1320 2767 8
1524 2163 64
1054 1081 100
344 3325 38
15 366 36
1062 3883 82
1064 1923 24
548 3813 58
3163 3932 46
541 594 18
3081 3287 39
827 1555 21
3106 3603 86
1261 2733 1
790 2537 68
3591 3789 83
3296 4003 76
600 1209 2
727 865 91
1629 3337 77
428 515 72
1165 3629 57
338 2995 42
227 3797 35
1400 2518 55
1513 2276 44
350 4079 42
1031 3231 37
2280 2321 86
1213 2128 28
2280 3081 6
424 598 59
2051 3913 51
25 1561 61
533 1266 94
3506 4067 74
1513 1546 34
619 986 100
877 3264 24
705 3054 22
2753 2759 95
1615 2397 63
190 340 19
57 1036 28
302 956 63
1923 3613 83
326 675 30
1930 3580 39
723 1232 6
2826 3956 7
477 3827 95
1422 2036 43
1513 3663 23
1740 3463 60
1773 3416 84
723 4101 79
2250 3653 100
2782 2903 42
259 2953 79
645 3389 57
2033 2245 37
3353 3877 1
3471 4135 45
428 1600 17
3664 3665 38
350 1553 100
1879 4021 55
103 3778 68
2314 3877 92
1419 2753 39
405 1485 49
157 387 95
1002 2386 73
52 1324 69
2029 2471 55
1064 3594 31
2366 3347 94
470 3283 30
1796 3167 64
377 579 79
400 1629 42
3500 3761 86
1469 3944 36
201 1230 90
117 1492 40
1112 2897 70
2515 3414 52
625 1523 15
436 3387 44
718 3362 61
2192 3659 4
1014 2744 31
1729 2465 53
1836 3325 90
824 3100 93
1750 2407 18
1801 1816 52
2957 3250 66
188 3377 86
559 764 66
3669 3764 76
467 1555 61
477 3686 98
1027 2924 94
786 937 44
996 2320 65
380 4121 86
570 3352 3
341 1946 2
64 1107 52
196 4105 10
827 2258 72
1922 2502 65
3120 3862 23
1943 2266 4
441 1966 42
727 2958 72
1561 2957 9
351 3963 1
2338 2526 69
1249 3099 51
966 3770 85
1367 3155 61
2398 3935 82
35 107 53
1866 3337 24
436 3613 86
1946 2046 57
289 2846 90
1746 1923 66
84 3177 62
2520 4082 63
1359 3590 8
556 823 76
2711 3660 10
311 2429 83
1518 2770 97
913 1233 13
2753 3547 91
1048 3925 62
1531 1553 11
832 1230 51
973 2199 95
1923 2977 71
2737 3698 62
304 3362 27
605 2074 62
1523 3584 90
1881 2077 69
119 1043 69
1257 2864 4
531 3556 62
1438 3962 81
1335 3100 34
916 3933 6
572 3134 59
2984 3487 32
598 2782 81
2627 3611 73
1180 2615 84
1113 3894 50
5 350 54
122 2182 25
97 3387 35
1893 3673 73
2804 3536 85
971 2754 68
2089 3222 82
6 3387 14
717 1011 63
1082 2634 69
979 4010 68
335 2201 51
1011 2416 62
2705 2902 38
1912 3388 17
357 482 10
3384 4135 48
1017 2397 25
1064 3155 68
2890 3528 15
1064 2753 34
2812 3386 83
366 1559 98
1762 3470 61
103 1451 9
2516 3400 45
2011 2128 66
616 3491 92
720 971 76
2453 3714 30
2247 2970 96
1266 1592 59
1464 3447 32
260 2864 97
1668 2322 31
1869 2063 59
3165 3594 62
1994 2209 16
679 1163 69
62 3391 18
1078 2909 20
2138 3532 71
3769 3987 67
1128 3840 97
763 2991 49
917 3347 75
1091 2753 71
2067 2831 53
2173 2658 98
2109 4006 30
2203 2951 9
518 1348 23
1009 1051 95
1736 2358 51
97 3613 77
3238 3877 36
635 3159 37
1266 3174 53
458 3930 57
1593 2415 87
344 3818 19
739 2753 59
3683 3827 81
2615 3235 9
67 1320 66
106 1247 34
1944 2554 31
2119 2614 76
3770 3988 15
227 1813 7
1841 3020 60
596 2301 42
1830 2328 55
44 2627 72
436 2977 74
2081 3897 9
2242 3572 75
317 2236 88
564 3362 87
564 2242 47
1905 2936 16
533 3663 43
248 2146 19
157 707 35
673 1783 23
1569 2929 81
1731 2585 55
1260 1921 66
2276 3315 60
2284 3326 95
2248 3273 78
366 778 21
598 3915 42
2036 3710 35
15 1559 17
1818 2414 45
1082 3941 88
2731 3553 11
1841 3425 45
2015 3900 14
153 3312 96
3653 4011 79
2856 3312 89
368 471 64
1550 2182 93
97 1064 44
1675 2967 13
1024 3081 70
